variant_id,pattern_id,speedup_O3,resistance_threshold,original_path,excluded_path
COMP_v003,COMP,,,COMP/COMP_v003,excluded/COMP/COMP_v003
COMP_v009,COMP,,,COMP/COMP_v009,excluded/COMP/COMP_v009
COMP_v017,COMP,,,COMP/COMP_v017,excluded/COMP/COMP_v017
COMP_v021,COMP,,,COMP/COMP_v021,excluded/COMP/COMP_v021
COMP_v058,COMP,,,COMP/COMP_v058,excluded/COMP/COMP_v058
COMP_v069,COMP,,,COMP/COMP_v069,excluded/COMP/COMP_v069
COMP_v083,COMP,,,COMP/COMP_v083,excluded/COMP/COMP_v083
COMP_v121,COMP,,,COMP/COMP_v121,excluded/COMP/COMP_v121
COMP_v165,COMP,,,COMP/COMP_v165,excluded/COMP/COMP_v165
COMP_v190,COMP,,,COMP/COMP_v190,excluded/COMP/COMP_v190
COMP_v264,COMP,,,COMP/COMP_v264,excluded/COMP/COMP_v264
COMP_v315,COMP,,,COMP/COMP_v315,excluded/COMP/COMP_v315
COMP_v372,COMP,,,COMP/COMP_v372,excluded/COMP/COMP_v372
COMP_v385,COMP,,,COMP/COMP_v385,excluded/COMP/COMP_v385
COMP_v460,COMP,,,COMP/COMP_v460,excluded/COMP/COMP_v460
COMP_v481,COMP,,,COMP/COMP_v481,excluded/COMP/COMP_v481
COMP_v492,COMP,,,COMP/COMP_v492,excluded/COMP/COMP_v492
COMP_v535,COMP,,,COMP/COMP_v535,excluded/COMP/COMP_v535
COMP_v557,COMP,,,COMP/COMP_v557,excluded/COMP/COMP_v557
COMP_v598,COMP,,,COMP/COMP_v598,excluded/COMP/COMP_v598
COMP_v603,COMP,,,COMP/COMP_v603,excluded/COMP/COMP_v603
COMP_v608,COMP,,,COMP/COMP_v608,excluded/COMP/COMP_v608
COMP_v662,COMP,,,COMP/COMP_v662,excluded/COMP/COMP_v662
COMP_v666,COMP,,,COMP/COMP_v666,excluded/COMP/COMP_v666
COMP_v694,COMP,,,COMP/COMP_v694,excluded/COMP/COMP_v694
DS-3_v001,DS-3,,,DS_3/DS-3_v001,excluded/DS_3/DS-3_v001
DS-3_v003,DS-3,,,DS_3/DS-3_v003,excluded/DS_3/DS-3_v003
DS-3_v004,DS-3,,,DS_3/DS-3_v004,excluded/DS_3/DS-3_v004
DS-3_v006,DS-3,,,DS_3/DS-3_v006,excluded/DS_3/DS-3_v006
DS-3_v007,DS-3,,,DS_3/DS-3_v007,excluded/DS_3/DS-3_v007
DS-3_v008,DS-3,,,DS_3/DS-3_v008,excluded/DS_3/DS-3_v008
DS-3_v010,DS-3,,,DS_3/DS-3_v010,excluded/DS_3/DS-3_v010
DS-3_v011,DS-3,,,DS_3/DS-3_v011,excluded/DS_3/DS-3_v011
DS-3_v012,DS-3,,,DS_3/DS-3_v012,excluded/DS_3/DS-3_v012
DS-3_v014,DS-3,,,DS_3/DS-3_v014,excluded/DS_3/DS-3_v014
DS-3_v015,DS-3,,,DS_3/DS-3_v015,excluded/DS_3/DS-3_v015
DS-3_v016,DS-3,,,DS_3/DS-3_v016,excluded/DS_3/DS-3_v016
DS-3_v017,DS-3,,,DS_3/DS-3_v017,excluded/DS_3/DS-3_v017
DS-3_v018,DS-3,,,DS_3/DS-3_v018,excluded/DS_3/DS-3_v018
DS-3_v019,DS-3,,,DS_3/DS-3_v019,excluded/DS_3/DS-3_v019
DS-4_v006,DS-4,,,DS_4/DS-4_v006,excluded/DS_4/DS-4_v006
DS-4_v010,DS-4,,,DS_4/DS-4_v010,excluded/DS_4/DS-4_v010
DS-4_v015,DS-4,1.44,2.0,DS_4/DS-4_v015,excluded/DS_4/DS-4_v015
IS-1_v000,IS-1,,,IS_1/IS-1_v000,excluded/IS_1/IS-1_v000
IS-1_v006,IS-1,,,IS_1/IS-1_v006,excluded/IS_1/IS-1_v006
IS-1_v007,IS-1,,,IS_1/IS-1_v007,excluded/IS_1/IS-1_v007
IS-1_v009,IS-1,,,IS_1/IS-1_v009,excluded/IS_1/IS-1_v009
IS-1_v013,IS-1,,,IS_1/IS-1_v013,excluded/IS_1/IS-1_v013
IS-1_v017,IS-1,,,IS_1/IS-1_v017,excluded/IS_1/IS-1_v017
IS-4_v005,IS-4,,,IS_4/IS-4_v005,excluded/IS_4/IS-4_v005
IS-4_v008,IS-4,,,IS_4/IS-4_v008,excluded/IS_4/IS-4_v008
IS-4_v009,IS-4,,,IS_4/IS-4_v009,excluded/IS_4/IS-4_v009
IS-4_v012,IS-4,,,IS_4/IS-4_v012,excluded/IS_4/IS-4_v012
IS-4_v013,IS-4,,,IS_4/IS-4_v013,excluded/IS_4/IS-4_v013
IS-4_v014,IS-4,,,IS_4/IS-4_v014,excluded/IS_4/IS-4_v014
IS-5_v002,IS-5,,,IS_5/IS-5_v002,excluded/IS_5/IS-5_v002
MI-4_v005,MI-4,,,MI_4/MI-4_v005,excluded/MI_4/MI-4_v005
MI-4_v006,MI-4,,,MI_4/MI-4_v006,excluded/MI_4/MI-4_v006
MI-4_v007,MI-4,,,MI_4/MI-4_v007,excluded/MI_4/MI-4_v007
MI-4_v013,MI-4,,,MI_4/MI-4_v013,excluded/MI_4/MI-4_v013
MI-4_v015,MI-4,,,MI_4/MI-4_v015,excluded/MI_4/MI-4_v015
MI-4_v018,MI-4,,,MI_4/MI-4_v018,excluded/MI_4/MI-4_v018
MI-4_v019,MI-4,,,MI_4/MI-4_v019,excluded/MI_4/MI-4_v019
SR-4_v004,SR-4,,,SR_4/SR-4_v004,excluded/SR_4/SR-4_v004
SR-4_v011,SR-4,,,SR_4/SR-4_v011,excluded/SR_4/SR-4_v011
SR-4_v012,SR-4,,,SR_4/SR-4_v012,excluded/SR_4/SR-4_v012
