pattern_id,variant_id,category,pattern_name,variant_desc,dtype,difficulty,compiler_fixable,num_loops,num_arrays,lines_of_code,expected_speedup_range
AL-1,AL-1_v000,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Min cost path: exponential recursive -> O(m*n) DP,long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v001,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Tribonacci: O(3^n) recursive -> O(n) iterative,long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v002,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Tribonacci: O(3^n) recursive -> O(n) iterative,long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v003,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Catalan numbers: exponential recursive -> O(n^2) DP,long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v004,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Tribonacci: O(3^n) recursive -> O(n) iterative,long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v005,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Coin ways: exponential recursive -> O(amount * coins),long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v006,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Min cost path: exponential recursive -> O(m*n) DP,long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v007,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Staircase (step 1..3): O(3^n) -> O(n*3),long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v008,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Coin ways: exponential recursive -> O(amount * coins),long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v009,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Catalan numbers: exponential recursive -> O(n^2) DP,long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v010,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Grid paths: exponential recursive -> O(r*c) DP,long long,hard,False,1,0,8,1000x+
AL-1,AL-1_v011,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Staircase (step 1..4): O(4^n) -> O(n*4),long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v012,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Staircase (step 1..4): O(4^n) -> O(n*4),long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v013,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Tribonacci: O(3^n) recursive -> O(n) iterative,long long,medium,False,1,0,8,1000x+
AL-1,AL-1_v014,Algorithmic Inefficiency,Brute Force vs Memoization/DP,Derangements: O(2^n) recursive -> O(n) iterative,long long,medium,False,1,0,8,1000x+
AL-2,AL-2_v000,Algorithmic,Repeated Sort vs Sorted Insertion,"float, n_items=5000",float,hard,False,1,1,12,5x-50x
AL-2,AL-2_v001,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=2000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v002,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=10000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v003,Algorithmic,Repeated Sort vs Sorted Insertion,"float, n_items=2000",float,hard,False,1,1,12,5x-50x
AL-2,AL-2_v004,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=5000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v005,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=5000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v006,Algorithmic,Repeated Sort vs Sorted Insertion,"float, n_items=5000",float,hard,False,1,1,12,5x-50x
AL-2,AL-2_v007,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=10000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v008,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=10000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v009,Algorithmic,Repeated Sort vs Sorted Insertion,"float, n_items=10000",float,hard,False,1,1,12,5x-50x
AL-2,AL-2_v010,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=5000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v011,Algorithmic,Repeated Sort vs Sorted Insertion,"float, n_items=5000",float,hard,False,1,1,12,5x-50x
AL-2,AL-2_v012,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=2000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v013,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=2000",double,hard,False,1,1,12,5x-50x
AL-2,AL-2_v014,Algorithmic,Repeated Sort vs Sorted Insertion,"double, n_items=2000",double,hard,False,1,1,12,5x-50x
AL-3,AL-3_v000,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=300, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v001,Algorithmic,Naive vs KMP Pattern Matching,"tn=10000000, pn=400, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v002,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=400, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v003,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=200, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v004,Algorithmic,Naive vs KMP Pattern Matching,"tn=10000000, pn=500, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v005,Algorithmic,Naive vs KMP Pattern Matching,"tn=10000000, pn=400, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v006,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=200, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v007,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=250, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v008,Algorithmic,Naive vs KMP Pattern Matching,"tn=10000000, pn=500, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v009,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=500, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v010,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=250, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v011,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=500, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v012,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=300, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v013,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=400, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-3,AL-3_v014,Algorithmic,Naive vs KMP Pattern Matching,"tn=20000000, pn=500, adversarial all-ones",int,hard,False,2,1,18,5x-50x
AL-4,AL-4_v000,Algorithmic,Recursive vs DP (Grid Paths),grid 16x17,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v001,Algorithmic,Recursive vs DP (Grid Paths),grid 18x17,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v002,Algorithmic,Recursive vs DP (Grid Paths),grid 18x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v003,Algorithmic,Recursive vs DP (Grid Paths),grid 16x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v004,Algorithmic,Recursive vs DP (Grid Paths),grid 17x17,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v005,Algorithmic,Recursive vs DP (Grid Paths),grid 18x17,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v006,Algorithmic,Recursive vs DP (Grid Paths),grid 17x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v007,Algorithmic,Recursive vs DP (Grid Paths),grid 17x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v008,Algorithmic,Recursive vs DP (Grid Paths),grid 15x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v009,Algorithmic,Recursive vs DP (Grid Paths),grid 15x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v010,Algorithmic,Recursive vs DP (Grid Paths),grid 17x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v011,Algorithmic,Recursive vs DP (Grid Paths),grid 16x17,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v012,Algorithmic,Recursive vs DP (Grid Paths),grid 17x15,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v013,Algorithmic,Recursive vs DP (Grid Paths),grid 17x16,int,hard,False,2,0,8,1000x+
AL-4,AL-4_v014,Algorithmic,Recursive vs DP (Grid Paths),grid 15x17,int,hard,False,2,0,8,1000x+
CF-3,CF-3_v000,Control Flow,Vectorization-Hostile Redundant Conditional,"poly op, double, n=2000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v001,Control Flow,Vectorization-Hostile Redundant Conditional,"poly op, double, n=5000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v002,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, double, n=5000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v003,Control Flow,Vectorization-Hostile Redundant Conditional,"cubic op, float, n=2000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v004,Control Flow,Vectorization-Hostile Redundant Conditional,"poly op, float, n=2000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v005,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, double, n=2000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v006,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, double, n=10000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v007,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, float, n=2000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v008,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, float, n=2000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v009,Control Flow,Vectorization-Hostile Redundant Conditional,"cubic op, double, n=2000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v010,Control Flow,Vectorization-Hostile Redundant Conditional,"poly op, double, n=5000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v011,Control Flow,Vectorization-Hostile Redundant Conditional,"poly op, double, n=10000000",double,hard,False,1,1,8,2x-8x
CF-3,CF-3_v012,Control Flow,Vectorization-Hostile Redundant Conditional,"cubic op, float, n=10000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v013,Control Flow,Vectorization-Hostile Redundant Conditional,"cubic op, float, n=5000000",float,hard,False,1,1,8,2x-8x
CF-3,CF-3_v014,Control Flow,Vectorization-Hostile Redundant Conditional,"quadratic op, double, n=5000000",double,hard,False,1,1,8,2x-8x
CF-4,CF-4_v000,Control Flow,Function Dispatch in Hot Loop,"tag=0, float, n=2000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v001,Control Flow,Function Dispatch in Hot Loop,"tag=1, float, n=10000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v002,Control Flow,Function Dispatch in Hot Loop,"tag=1, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v003,Control Flow,Function Dispatch in Hot Loop,"tag=0, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v004,Control Flow,Function Dispatch in Hot Loop,"tag=0, double, n=2000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v005,Control Flow,Function Dispatch in Hot Loop,"tag=0, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v006,Control Flow,Function Dispatch in Hot Loop,"tag=0, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v007,Control Flow,Function Dispatch in Hot Loop,"tag=0, float, n=10000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v008,Control Flow,Function Dispatch in Hot Loop,"tag=2, float, n=10000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v009,Control Flow,Function Dispatch in Hot Loop,"tag=1, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v010,Control Flow,Function Dispatch in Hot Loop,"tag=1, float, n=5000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v011,Control Flow,Function Dispatch in Hot Loop,"tag=1, double, n=5000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v012,Control Flow,Function Dispatch in Hot Loop,"tag=0, double, n=10000000",double,hard,False,1,1,10,2x-6x
CF-4,CF-4_v013,Control Flow,Function Dispatch in Hot Loop,"tag=2, float, n=2000000",float,hard,False,1,1,10,2x-6x
CF-4,CF-4_v014,Control Flow,Function Dispatch in Hot Loop,"tag=2, double, n=5000000",double,hard,False,1,1,10,2x-6x
COMP,COMP_v000,Composed,Multiple Overlapping Patterns,"Top-down DP descent vs bottom-up sequential, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v001,Composed,Multiple Overlapping Patterns,"Top-down DP descent vs bottom-up sequential, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v002,Composed,Multiple Overlapping Patterns,"Brute scan vs hash-table lookup, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v004,Composed,Multiple Overlapping Patterns,"Wide AoS stride access + redundant bounds, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v005,Composed,Multiple Overlapping Patterns,"qsort + per-elem noinline vs detect-sorted + hoist, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v006,Composed,Multiple Overlapping Patterns,"Noinline penalty + temp decomposition, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v007,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v008,Composed,Multiple Overlapping Patterns,"Brute scan vs hash-table lookup, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v010,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v011,Composed,Multiple Overlapping Patterns,"Recursive Fib + noinline lookup vs iterative + hoist, int",int,hard,False,2,2,15,10x-1000x
COMP,COMP_v012,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, double",double,hard,False,2,2,15,10x-1000x
COMP,COMP_v013,Composed,Multiple Overlapping Patterns,"Triple: invariant call + branch + temps, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v014,Composed,Multiple Overlapping Patterns,"AoS dense over sparse vs SoA skip-zero, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v015,Composed,Multiple Overlapping Patterns,"Redundant aggregation + column-major, float",float,hard,False,2,2,15,10x-1000x
COMP,COMP_v016,Composed,Multiple Overlapping Patterns,"Linear branchy vs binary branchless search, int",int,hard,False,2,2,15,10x-1000x
